ID;Heure de début;Heure de fin;Adresse de messagerie;Nom;Heure de la dernière modification;La communication préalable sur le programme des deux jours était-elle claire et suffisante ?;Les lieux (salle pour la journée stratégique, site du team building, hébergement) étaient-ils adaptés et confortables ?; La restauration (qualité, variété, prise en compte des préférences) vous a-t-elle convenu ?;La gestion du temps (durée des sessions, pauses, enchaînement) était-elle équilibrée ?;La communication et l’encadrement par les organisateurs/facilitateurs étaient-ils satisfaisants ?;Les objectifs de la journée stratégique étaient-ils clairs pour vous ?;Avez-vous eu l’opportunité de vous exprimer et de contribuer aux discussions stratégiques ?;La présentation du plan stratégique (priorités, objectifs, actions phares) et les communications associées (valeurs, chartes, sensibilisation) étaient-elles pertinentes et inspirantes ?;Cette journée a-t-elle contribué à une meilleure compréhension des enjeux et objectifs de l’entreprise ?;Les conclusions et prochaines étapes définies vous semblent-elles claires et réalisables ?;Les activités de team building proposées vous ont-elles satisfait ?;Ces activités étaient-elles engageantes et ont-elles favorisé la collaboration ?;Dans quelle mesure ont-elles renforcé les liens au sein de l’équipe ?;L’équilibre entre les sessions stratégiques et les activités de team building vous a-t-il convenu ?;Ces deux jours ont-ils renforcé votre sentiment d’appartenance à l’entreprise ?;Les interactions avec vos collègues (cohésion, networking) ont-elles été favorisées ?;Vous sentez-vous motivé(e) à contribuer aux objectifs stratégiques après cet événement ?;La durée globale des deux jours vous a-t-elle convenu ?;. Quelle est votre satisfaction générale pour cet événement ?;Quel a été votre moment préféré des deux jours et pourquoi ?;Quels aspects pourraient être améliorés pour une prochaine édition ?
12;4/6/25 12:19:01;4/6/25 12:25:51;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Oui;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Jour 2/ travaux en équipe ;RAS
13;4/6/25 12:25:51;4/6/25 12:27:41;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Trop courte ;Très satisfait;Les 3 ateliers et activités de brises grâce en équipe ;Temps
14;4/6/25 12:26:26;4/6/25 12:30:07;anonymous;;;Satisfait;Très satisfait;Très satisfait;Peu satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Le team building ;La gestion du temps
15;4/6/25 12:19:18;4/6/25 12:30:09;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Satisfait;Communication claire sur les objectifs et le renforcement de l'esprit d'équipe à travers les exercices.;RAS
16;4/6/25 11:55:40;4/6/25 12:31:00;anonymous;;;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Journées stratégiques : pour des raisons d’explication claires de la déclinaison des priorités de la société.;RAS
17;4/6/25 12:26:38;4/6/25 12:31:52;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Team Bulding;
18;4/6/25 12:27:09;4/6/25 12:32:25;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;Team Building;Ras
19;4/6/25 12:31:23;4/6/25 12:34:49;anonymous;;;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Team building ;RAS
20;4/6/25 12:26:13;4/6/25 12:35:14;anonymous;;;Satisfait;Très satisfait;Très satisfait;Peu satisfait;Satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Les séances de teams building. Parce que ces séances ont favorisées l’esprit d’équipe entre les collaborateurs !;La gestion du temps lors des différentes séances !
21;4/6/25 12:21:58;4/6/25 12:35:50;anonymous;;;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Trop courte ;Très satisfait;Le travail en groupe. Ça permis à tout un chacun de s'exprimer ;Le temps pour les travaux en groupe 
22;4/6/25 12:03:03;4/6/25 12:38:19;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Tout le temps passé était meilleur et un bon moment de partage ;Nous avons senti beaucoup de fatigue. Le service est resté presque fermé 
23;4/6/25 12:32:00;4/6/25 12:38:57;anonymous;;;Satisfait;Satisfait;Satisfait;Peu satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Peu satisfait;Satisfait;Peu satisfait;Satisfait;Bien équilibrée;Satisfait;Team building ;Enchaînement des activités 
24;4/6/25 12:05:33;4/6/25 12:39:39;anonymous;;;Peu satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Elles ont brise les barrières et favoriser les rapprochements et cohésion. ;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;2eme jour. Parceque les barrières étaient brisées et une nouvelle connexion et confiance s'est établie.  Ce qui a faciliter les travaux, les apports et en temps booster notre génie créateur. etr;Dans la  communication surtout .
25;4/6/25 12:38:50;4/6/25 12:41:26;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Bien équilibrée;Satisfait;Jeux de rôle ;
26;4/6/25 12:33:05;4/6/25 12:44:45;anonymous;;;Peu satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le TB parce que le team building à renforcer l’esprit d’équipe.pour moi beaucoup de barrières entre collègues se sont brisées .;Nous demandons un « quartier libre »
27;4/6/25 12:42:16;4/6/25 12:45:02;anonymous;;;Satisfait;Très satisfait;Satisfait;Peu satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Les séances de travail en salles;Bien redéfinir les moments de pauses. 
28;4/6/25 12:45:15;4/6/25 12:50:14;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le premier jour parce que je dois tout mettre à ma disposition pour atteindre l'objectif demandé qui est le CA;ras
29;4/6/25 12:57:16;4/6/25 13:01:57;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Bien équilibrée;Satisfait;Tous les moments car chaque moments était très instructifs et important pour moi;Au niveau de la journée stratégique on aurait pu allonger un peu la durée 
30;4/6/25 13:00:46;4/6/25 13:08:35;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Peu satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Bien équilibrée;Très satisfait;C'est le team building qui a permis de nous découvrir et comprendre que nous devons être une entité qui doit être fier d'appartenir à SUKU Assurances ;
31;4/6/25 13:00:29;4/6/25 13:11:34;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Teams Building parce que j'ai vu des collègues décontractés et très créatif.;Les jus locaux dans les bouteilles ne sont pas du tout ça donc l'hôtel devra revoir ses fournisseurs.
32;4/6/25 12:49:06;4/6/25 13:12:53;anonymous;;;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Satisfait;Les orientations stratégiques présentées à tous les collaborateurs et les invitant à s'unir pour l'atteinte de l'objectif global qui est de 9 686 429 000fcfa avec des arriérés autorisés de 165 millions au maximum ;J'aurais bien voulu dire de réduire les activités pour qu'on puisse les tenir dans les temps impartis mais elles étaient toutes intéressantes et comportaient des messages forts de constructions individuelles et collectives 
33;4/6/25 13:11:36;4/6/25 13:18:17;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Prochainement étendre à 3 jours 👍;Très satisfait;La team building et les échanges interactifs qui ont permis à chaque membre de mieux se libérer ;La durée (3 jours pleins)
34;4/6/25 13:19:02;4/6/25 13:24:20;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;J'ai aimé de bout en bout ;RAS
35;4/6/25 13:22:03;4/6/25 13:25:57;anonymous;;;Satisfait;Très satisfait;Satisfait;Peu satisfait;Satisfait;Oui;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;La présentation de plan stratégique et le team building;Plus de jeux pendant le team building
36;4/6/25 13:23:48;4/6/25 13:27:08;anonymous;;;Très satisfait;Satisfait;Peu satisfait;Très satisfait;Satisfait;Oui;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Présentation des priorités, team building ;RAS
37;4/6/25 13:22:08;4/6/25 13:28:24;anonymous;;;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;Les groups de travail dans l avis de tout un chacun etait pris en compte;Pour moi c etait  parfait
38;4/6/25 13:23:37;4/6/25 13:32:07;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;La  présentation du bilan 2024 et celle des engagements pris pour l'année en cours qui m'a permis de savoir réellement l'état des lieux et aussi où à quel niveau nous sommes invités à aller . Ce qui m'emmène à prendre des engagements pour l'atteinte de ses objectifs ;Communiquer sur le dress code et l'heure du départ plus tôt que cette année 
39;4/6/25 13:25:07;4/6/25 13:35:51;anonymous;;;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;La découverte de la charte SUNU et la SUNU ATTITUDE. ;RAS
40;4/6/25 13:34:33;4/6/25 13:36:34;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;RAS;RAS 
41;4/6/25 13:11:37;4/6/25 13:37:32;anonymous;;;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Oui;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le 05 samedi. Cette journée résume en tout l’objectif de ces journées stratégiques à travers les exercices du team building qui nous ont permis de mieux appréhender l’importance du soutien mutuel et des engagements ou devoirs envers la société et envers nous même.;RAS.
42;4/6/25 13:26:28;4/6/25 13:41:03;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Peu satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Peu satisfait;Satisfait;Bien équilibrée;Satisfait;La présentation du PS car je sentais une sincérité et une transparence et le tout couronné avec cette volonté de changement mental.;RAS
43;4/6/25 13:40:33;4/6/25 13:42:57;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;;
44;4/6/25 13:29:09;4/6/25 13:43:59;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le team building : un moment qui nous a permis de consolider encore plus nos liens avec nos collaborateurs, de voir l’importance du travail d’équipe pour l’atteinte des objectifs.; 
45;4/6/25 13:45:54;4/6/25 13:53:05;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Bien équilibrée;Satisfait;Le dîner gala en tenue traditionnelle, nous avons partagé un très bon moment où chacun a pu à sa manière valoriser sa culture. Je me suis senti chez moi au tous mes collègues et ceux là même qui en entreprise on avait du mal à se dire bonjour. Et je peux dire que c’est la première fois que je me sens vraiment intégré. ;Le petit brunch à 11h est facultatif du moment où on prend un petit déjeuner consistant à 7h30 et la pause déjeuner à 13h. 
46;4/6/25 13:55:55;4/6/25 13:58:23;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Très satisfait;L'activité des 3 étapes du Team building. Ça permis de voir que tous les groupes étaient alignés ;La gestion du temps et me nombre de jours 
47;4/6/25 13:56:23;4/6/25 14:02:12;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;La culture d entreprise;La courtoisie au boulot 
48;4/6/25 14:14:08;4/6/25 14:21:19;anonymous;;;Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;Teams building ;Satisfait 
49;4/6/25 14:21:01;4/6/25 14:22:09;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;La deuxième journée à cause du renforcement des liens et un sentiment  d’appartenance réelle à l’entreprise ;Aucun 
50;4/6/25 14:15:01;4/6/25 14:25:03;anonymous;;;Satisfait;Très satisfait;Très satisfait;Peu satisfait;Très satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le moment des travaux de groupe car ça nous a permis de renforcer les liens entre collaborateurs ;La gestion du temps 
51;4/6/25 14:16:57;4/6/25 14:28:26;anonymous;;;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Oui;Peu satisfait;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Satisfait;La journée stratégique surtout la présentation des chiffres par le DG. Certaines pratiques malsaines qu’on ne savait pas ont été dénoncées.;Essayer de programmer ces journées sur un long weekend pour nous permettre de récupérer un peu pour bien reprendre le service efficacement 
52;4/6/25 14:15:57;4/6/25 14:28:33;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Le team building il nous permis de briser les barrières avec nos collaborateurs. L'exposé de DG m'a permis de me sentir  impliqué..Je suis prête à relever le défi de l'atteinte de mes objectifs. ;Revoir l'heure de départ pour koudougou, c'était très tôt à mon avis. 
53;4/6/25 14:27:24;4/6/25 14:36:35;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;1er Jours Plan Stratégique les orientations stratégiques. En effet avec ces orientations stratégiques l'atteinte de l'objectif global sera atteint;En général l'édition à été une réussite à mon avis, le reste c'est des détails 
54;4/6/25 15:09:35;4/6/25 15:16:18;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Trop courte ;Satisfait;Le deuxième jour car nous avions été confronté à des difficultés et il fallait trouver des solutions.;Le temps.et le nombre de jours très peu 
55;4/6/25 15:48:30;4/6/25 15:55:26;anonymous;;;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Les prises de parole de la Direction générale pour rappeler la gravité de notre positionnement sur le marché ;RAS
56;4/6/25 15:55:26;4/6/25 16:09:24;anonymous;;;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Oui;Satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;La franchise du DG lors de ses prises de paroles.;Pour une prochaine édition, les aspects à améliorer sont: 1- la taille des t-shirt (2 tailles étaient seulement disponibles à savoir le XL et le XXL) et des gilets 
57;4/6/25 16:25:12;4/6/25 16:28:59;anonymous;;;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Très satisfait;Le jeu de la natte ;RAS
58;4/6/25 15:57:32;4/6/25 16:35:50;anonymous;;;Très satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Oui;Satisfait;Satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Très satisfait;Bien équilibrée;Satisfait;J’ai beaucoup aimé le moment de jeux entre collègues ;Je n’ai pas aimé le petit déjeuné(croissant trop sec),
59;4/6/25 16:31:38;4/6/25 16:40:40;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;La présentation de la situation de la société, et le déroulement du plan stratégique.;Pour une prochaine, je propose de choisir des jours stratégique de telle sorte de nous permettre d'avoir au moins 24h de repos avant la reprise du service.
60;4/6/25 16:55:02;4/6/25 17:00:39;anonymous;;;Peu satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Oui;Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Bien équilibrée;Très satisfait;Les activités de team building;Prévoir la valorisation des plus anciens au cours de la soirée de clôture 
61;4/6/25 17:47:53;4/6/25 17:56:00;anonymous;;;Satisfait;Satisfait;Satisfait;Satisfait;Satisfait;Oui;Satisfait;Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Bien équilibrée;Satisfait;Les jeux d'équipe apprenant la cohésion ;Satisfait 
